name,longName,compartment,formula
his_L[e],L-histidine,e,C6H9N3O2
homogal[e],"Homogalacturonan, 100 galacturonate residues. Assumed to be methylated/ acetylated in every 5th residue. Citrus HG consists of 7... <Preview truncated at 128 characters>",e,C660H840O660
hxan[e],Hypoxanthine,e,C5H4N4O
ile_L[e],L-isoleucine,e,C6H13NO2
indole[e],Indole,e,C8H7N
ins[e],Inosine,e,C10H12N4O5
inulin[e],"Chicory inulin, 30 monosaccharide units (29 fru, 1 glc) on average",e,C180H302O151
k[e],potassium,e,K
kestopt[e],"Kestopentaose (4 fru, 1 glc inulin-type fructo-oligosaccharide)",e,C30H52O26
lac_L[e],(S)-lactate,e,C3H5O3
lcts[e],Lactose,e,C12H22O11
leu_L[e],L-leucine,e,C6H13NO2
levan1000[e],"Levan, 1000 fructose units",e,C6000H10002O5001
lys_L[e],L-lysinium(1+),e,C6H15N2O2
mal_L[e],(S)-malate(2-),e,C4H4O5
malt[e],Maltose,e,C12H22O11
man[e],D-Mannose,e,C6H12O6
melib[e],Melibiose,e,C12H22O11
meoh[e],methanol,e,CH4O1
met_L[e],L-methionine,e,C5H11NO2S
metsox_S_L[e],L-Methionine Sulfoxide,e,C5H11NO3S
mg2[e],magnesium,e,Mg
mn2[e],Mn2+,e,Mn
mnl[e],D-Mannitol,e,C6H14O6
mobd[e],Molybdate,e,MoO4
mqn7[e],Menaquinone 7,e,C46H64O2
mqn8[e],Menaquinone 8,e,C51H72O2
na1[e],Sodium,e,Na
nac[e],Nicotinate,e,C6H4NO2
nmn[e],NMN,e,C11H14N2O8P
no2[e],Nitrite,e,NO2
no3[e],Nitrate,e,NO3
ocdca[e],octadecanoate (n-C18:0),e,C18H35O2
orn[e],Ornithine,e,C5H13N2O2
oxa[e],oxalate(2-),e,C2O4
pect[e],pectins,e,C2535H3509O2535
phe_L[e],L-phenylalanine,e,C9H11NO2
pheme[e],Protoheme,e,C34H30FeN4O4
pi[e],hydrogenphosphate,e,HO4P
pnto_R[e],(R)-Pantothenate,e,C9H16NO5
pro_L[e],L-proline,e,C5H9NO2
ptrc[e],Putrescine,e,C4H14N2
pullulan1200[e],"pullulan (n=1200 repeat units, alpha-1,4 and alph-1,6 bounds)",e,C7200H12002O6001
pydam[e],Pyridoxamine,e,C8H13N2O2
pydx[e],Pyridoxal,e,C8H9NO3
pydxn[e],Pyridoxine,e,C8H11NO3
q8[e],Ubiquinone-8,e,C49H74O4
raffin[e],Raffinose,e,C18H32O16
rhamnogalurII[e],"Wine rhamnogalacturonan II, MW ~ 5-10 kDa, 37% galur, 16% rmn, 3% fuc-L, 11% arab-L, 6% gal, 5% glcur, 4% 2omfuc, 3% 2omxyl, 6% ... <Preview truncated at 128 characters>",e,C317H445O273
rhamnogalurI[e],"Potato rhamnogalacturonan I, MW assumed ~200000, 62 galur, 20 rmn, 12 gal, 3 arab-L, 1 xyl-D (www.megazyme.com, PMID: 16661590)",e,C5840H7862O5281
rib_D[e],D-ribose,e,C5H10O5
ribflv[e],Riboflavin,e,C17H20N4O6
rmn[e],L-Rhamnose,e,C6H12O5
sel[e],selenate,e,O4Se
ser_L[e],L-serine,e,C3H7NO3
sheme[e],Siroheme,e,C42H36FeN4O16
so4[e],sulfate,e,O4S
spmd[e],Spermidine,e,C7H22N3
strch1[e],"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})",e,C66H112O56
succ[e],Succinate,e,C4H4O4
sucr[e],Sucrose,e,C12H22O11
thm[e],Thiamin,e,C12H17N4OS
thr_L[e],L-threonine,e,C4H9NO3
thymd[e],Thymidine,e,C10H14N2O5
tre[e],Trehalose,e,C12H22O11
trp_L[e],L-tryptophan,e,C11H12N2O2
ttdca[e],tetradecanoate (n-C14:0),e,C14H27O2
tyr_L[e],L-tyrosine,e,C9H11NO3
ura[e],uracil,e,C4H4N2O2
uri[e],Uridine,e,C9H12N2O6
val_L[e],L-valine,e,C5H11NO2
xan[e],Xanthine,e,C5H4N4O2
xyl_D[e],aldehydo-D-xylose,e,C5H10O5
zn2[e],Zinc,e,Zn
